City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ulladulla,9,AU,1570035685,76,-35.36,150.48,55.4,6.93
thompson,5,CA,1570035685,60,55.74,-97.86,41,6.93
luderitz,0,NA,1570035686,92,-26.65,15.16,55.78,17.4
ceres,62,BR,1570035686,24,-15.31,-49.6,94.48,8.75
beringovskiy,77,RU,1570035686,87,63.05,179.32,30.4,2.89
cape town,20,ZA,1570035604,77,-33.93,18.42,66,17.22
tuktoyaktuk,90,CA,1570035767,93,69.44,-133.03,37.4,3.36
hermanus,100,ZA,1570035767,89,-34.42,19.24,63,4
malwan,,,,,,,,
la ronge,90,CA,1570035743,69,55.1,-105.3,39.2,10.29
bredasdorp,100,ZA,1570035768,77,-34.53,20.04,63,13.87
punta arenas,40,CL,1570035600,57,-53.16,-70.91,50,28.86
qaanaaq,87,GL,1570035768,82,77.48,-69.36,26.8,2.57
new norfolk,75,AU,1570035768,76,-42.78,147.06,53.01,3.36
okha,100,RU,1570035769,61,53.59,142.95,41.92,24.61
chunoyar,100,RU,1570035769,79,57.45,97.32,36.88,9.33
hithadhoo,15,MV,1570035769,79,-0.6,73.08,82.78,17.98
ushuaia,40,AR,1570035480,75,-54.81,-68.31,48.2,33.33
tecolutla,100,MX,1570035769,82,17.31,-98.74,66.94,3.98
vilyuysk,81,RU,1570035770,91,63.75,121.63,22.84,3.8
nouakchott,0,MR,1570035770,7,18.08,-15.98,111.2,17.22
zhaotong,90,CN,1570035770,98,27.34,103.71,57.4,1.66
dunedin,99,NZ,1570035517,63,-45.87,170.5,45,14
jamestown,8,AU,1570035770,86,-33.21,138.6,48.4,1.34
mataura,100,NZ,1570035771,88,-46.19,168.86,42.01,4
illoqqortoormiut,,,,,,,,
hobart,75,AU,1570035650,76,-42.88,147.33,53.01,3.36
roald,75,NO,1570035771,76,62.58,6.12,50,12.75
saskylakh,55,RU,1570035771,88,71.97,114.09,16,3.85
bethel,90,US,1570035544,100,60.79,-161.76,46.4,10.29
eten,40,PE,1570035772,68,-6.91,-79.86,69.8,9.17
arraial do cabo,0,BR,1570035772,57,-22.97,-42.02,77,18.34
paidha,98,UG,1570035772,96,2.42,30.99,62.8,3.83
dallas,40,US,1570035648,55,32.78,-96.8,90,8.05
verkhnevilyuysk,81,RU,1570035772,86,63.45,120.31,23.56,4.36
sinor,18,IN,1570035773,88,21.91,73.34,78.64,6.87
quatre cocos,75,MU,1570035773,83,-20.21,57.76,75.2,9.17
kalininsk,0,RU,1570035773,69,51.5,44.48,51.82,4.34
mys shmidta,,,,,,,,
east london,0,ZA,1570035773,72,-33.02,27.91,68,14.99
puerto ayora,75,EC,1570035774,64,-0.74,-90.35,75.2,12.75
norman wells,90,CA,1570035774,100,65.28,-126.83,39.2,2.24
provideniya,89,RU,1570035774,86,64.42,-173.23,36.88,13.18
florianopolis,0,BR,1570035774,69,-27.6,-48.55,78.8,19.46
samusu,,,,,,,,
barrow,31,AR,1570035775,40,-38.31,-60.23,56.86,11.65
coquimbo,0,CL,1570035775,48,-29.95,-71.34,60.8,12.75
pevek,100,RU,1570035775,74,69.7,170.27,30.4,12.3
rikitea,100,PF,1570035775,81,-23.12,-134.97,62.8,11.56
vila franca do campo,75,PT,1570035776,88,37.72,-25.43,73.4,23.04
faanui,76,PF,1570035776,76,-16.48,-151.75,76.84,18.57
butaritari,87,KI,1570035776,63,3.07,172.79,84.94,5.12
leningradskiy,100,RU,1570035776,91,69.38,178.42,28.96,15.75
gibara,75,CU,1570035776,74,21.11,-76.13,84.2,11.41
vanimo,58,PG,1570035777,69,-2.67,141.3,83.14,2.53
mahebourg,75,MU,1570035777,83,-20.41,57.7,75.2,9.17
suluova,0,TR,1570035777,43,40.83,35.65,73.4,6.93
basoko,28,CD,1570035777,91,1.23,23.61,72.34,0.96
port alfred,91,ZA,1570035778,89,-33.59,26.89,63,1.01
bluff,5,AU,1570035778,90,-23.58,149.07,59.02,12.8
ibia,100,NG,1570035828,96,5.18,6.32,72.88,4.54
lamont,33,CA,1570035828,73,53.76,-112.78,41,5.01
campbell river,90,CA,1570035829,81,50.02,-125.24,51.8,6.93
busselton,100,AU,1570035829,64,-33.64,115.35,55.99,5.99
barentsburg,,,,,,,,
yellowknife,75,CA,1570035577,81,62.45,-114.38,42.8,6.93
macia,1,MZ,1570035829,81,-25.03,33.09,62.44,5.68
berdigestyakh,67,RU,1570035829,93,62.1,126.7,23.56,7
taolanaro,,,,,,,,
mar del plata,16,AR,1570035830,22,-46.43,-67.52,52.9,11.56
wabana,90,CA,1570035830,81,47.63,-52.95,43,5.82
upernavik,51,GL,1570035830,68,72.79,-56.15,36.52,11.7
koshurnikovo,4,RU,1570035830,81,54.3,93.39,28.78,2.73
atuona,18,PF,1570035559,74,-9.8,-139.03,79.36,12.48
ust-tsilma,79,RU,1570035831,93,65.44,52.15,41.56,5.64
mount gambier,90,AU,1570035831,93,-37.83,140.78,53.6,12.75
victoria,75,BN,1570035605,94,5.28,115.24,78.8,1.45
nanortalik,64,GL,1570035831,62,60.14,-45.24,45.88,1.57
haizhou,0,CN,1570035831,92,34.58,119.13,66.76,3.65
comodoro rivadavia,20,AR,1570035737,43,-45.87,-67.48,51.8,6.93
placido de castro,22,BR,1570035832,35,-10.34,-67.19,97.18,4.56
wexford,1,US,1570035832,65,40.63,-80.06,87.01,9.17
san isidro,75,CR,1570035832,73,10.02,-84.06,77,8.05
sirjan,82,IR,1570035691,17,29.44,55.67,75.94,11.61
gorontalo,40,ID,1570035833,91,0.54,123.06,72.16,2.93
eskasem,,,,,,,,
inirida,65,CO,1570035833,55,3.87,-67.92,89.62,5.61
kuche,,,,,,,,
iisalmi,0,FI,1570035833,85,63.56,27.19,41,10.29
ziro,79,IN,1570035834,96,27.54,93.82,55.06,1.39
bayir,0,TR,1570035834,64,37.27,28.22,75.2,6.93
dymer,12,UA,1570035834,52,50.78,30.31,66.2,4.47
cabo san lucas,5,MX,1570035681,61,22.89,-109.91,84.99,2.24
umzimvubu,,,,,,,,
temaraia,,,,,,,,
sulangan,100,PH,1570035835,76,11.14,123.72,82.6,7.49
chuy,100,UY,1570035835,92,-33.69,-53.46,56.14,19.62
constitucion,40,MX,1570035835,68,23.99,-104.67,71.01,3.36
hilo,90,US,1570035835,88,19.71,-155.08,73.99,4.7
vaini,80,IN,1570035836,91,15.34,74.49,76.3,0.78
madaba,0,JO,1570035836,50,31.72,35.79,77,8.05
saint-philippe,90,CA,1570035836,81,45.36,-73.48,55,9.17
tasiilaq,90,GL,1570035836,64,65.61,-37.64,39.2,34.45
husavik,91,CA,1570035837,90,50.56,-96.99,42.01,6.67
laguna,40,BZ,1570035837,70,16.17,-88.94,87.8,2.91
rafraf,20,TN,1570035837,51,37.19,10.18,80.6,11.41
tiksi,100,RU,1570035837,92,71.64,128.87,27.34,22.82
cerrito,40,CO,1570035838,78,6.84,-72.7,73.4,8.05
albania,72,CO,1570035838,91,5.76,-73.91,72.88,2.8
aktau,0,KZ,1570035838,77,43.65,51.16,60.8,2.24
ekhabi,100,RU,1570035838,61,53.51,142.97,41.92,24.61
albany,90,US,1570035838,88,42.65,-73.75,77,12.75
kitimat,90,CA,1570035839,93,54.02,-128.69,46.99,2.24
pribinic,20,BA,1570035839,73,44.61,17.69,69.8,2.24
port hedland,0,AU,1570035839,73,-20.31,118.58,73.4,8.05
kapaa,90,US,1570035839,83,22.08,-159.32,78.8,16.11
avarua,45,CK,1570035640,73,-21.21,-159.78,69.8,2.24
abu dhabi,100,AE,1570035781,70,24.47,54.37,91.4,5.82
shihezi,6,CN,1570035840,34,44.3,86.03,50.56,8.5
dakar,40,SN,1570035840,74,14.69,-17.45,87.8,14.99
portland,90,US,1570035820,77,43.66,-70.25,64.4,5.82
lavrentiya,59,RU,1570035890,97,65.58,-170.99,32.74,6.04
tuatapere,100,NZ,1570035891,88,-46.13,167.69,42.01,4
los llanos de aridane,20,ES,1570035891,78,28.66,-17.92,84,10.29
srednekolymsk,77,RU,1570035891,89,67.46,153.71,25,18.37
beira,40,ES,1570035891,68,43.2,-8.36,68,4.7
belushya guba,,,,,,,,
clyde,100,NZ,1570035889,75,-45.19,169.32,35.01,2.46
barabai,4,ID,1570035892,95,-2.59,115.38,73.42,1.61
ostersund,90,SE,1570035892,69,63.18,14.64,37.4,5.82
nuuk,75,GL,1570035725,52,64.17,-51.74,46.4,10.29
amderma,,,,,,,,
ancud,40,CL,1570035892,60,-41.87,-73.83,46.4,4.7
castro,40,CL,1570035893,54,-42.48,-73.76,46.4,4.7
kavieng,36,PG,1570035893,77,-2.57,150.8,81.16,6.53
taoudenni,23,ML,1570035893,6,22.68,-3.98,100.78,7.25
saint-francois,75,FR,1570035893,72,46.42,3.91,59,10.29
laiagam,,,,,,,,
san quintin,97,PH,1570035893,92,17.54,120.52,73.78,3.44
sakakah,,,,,,,,
bonfim,82,GY,1570035894,38,3.36,-59.84,95.2,8.46
xiantao,12,CN,1570035894,49,30.37,113.44,74.32,4.18
bubaque,60,GW,1570035894,82,11.28,-15.83,81.52,14.81
harper,20,US,1570035894,54,30.3,-99.24,87.01,10.29
basco,75,US,1570035895,78,40.33,-91.2,79,8.05
lejanias,65,CO,1570035895,90,3.53,-74.02,61.72,3.87
ilulissat,75,GL,1570035895,31,69.22,-51.1,50,16.11
merauke,100,ID,1570035895,82,-8.49,140.4,78.64,24.14
mpika,72,ZM,1570035896,69,-11.84,31.4,67.66,9.08
dikson,29,RU,1570035896,78,73.51,80.55,26.8,19.57
marzuq,50,YE,1570035896,54,14.4,46.47,76.66,4.27
severo-kurilsk,84,RU,1570035896,89,50.68,156.12,48.94,13.71
carnarvon,45,ZA,1570035897,12,-30.97,22.13,64.78,9.26
samalaeulu,,,,,,,,
pilar do sul,17,BR,1570035897,23,-23.81,-47.72,92.86,5.35
bambous virieux,75,MU,1570035897,83,-20.34,57.76,75.2,9.17
ondorhaan,,,,,,,,
hamilton,90,CA,1570035788,93,43.26,-79.87,62.6,9.17
charyshskoye,0,RU,1570035898,76,51.4,83.56,27.52,3.44
goure,83,NE,1570035898,31,13.98,10.27,95,3
geraldton,90,CA,1570035898,80,49.72,-86.95,35.6,9.17
belmonte,86,PT,1570035898,52,40.36,-7.35,72,3
ponta do sol,9,BR,1570035898,28,-20.63,-46,87.82,5.46
sinnai,0,IT,1570035899,56,39.3,9.2,73.4,17.22
pushchino,40,RU,1570035899,67,54.83,37.61,60.01,6.71
kamaishi,99,JP,1570035899,81,39.28,141.86,56.14,0.87
tawkar,,,,,,,,
khatanga,0,RU,1570035899,82,71.98,102.47,21.22,8.32
meyungs,,,,,,,,
carinhanha,0,BR,1570035900,21,-14.3,-43.77,94.48,6.78
baykit,100,RU,1570035900,98,61.68,96.39,32.56,7.23
saldanha,45,PT,1570035900,39,41.42,-6.55,66.4,3.38
manokwari,18,ID,1570035900,70,-0.87,134.08,72.16,5.32
sobolevo,100,RU,1570035901,84,54.43,31.9,55.24,7.56
ipixuna,75,BR,1570035901,55,-1.76,-48.8,89.6,9.17
lebu,75,ET,1570035901,77,8.96,38.73,60.8,6.93
talnakh,75,RU,1570035901,93,69.49,88.39,33.8,4.47
panaba,2,MX,1570035902,67,21.28,-88.27,85.3,8.79
damietta,0,EG,1570035902,74,31.42,31.81,78.8,6.93
casablanca,20,MA,1570035902,73,33.6,-7.62,75.2,18.34
lompoc,1,US,1570035952,50,34.64,-120.46,70,4.99
kavaratti,56,IN,1570035953,75,10.57,72.64,82.42,8.19
bratsk,20,RU,1570035953,64,56.15,101.63,33.8,6.71
rorvik,75,NO,1570035784,75,64.86,11.24,46.4,6.93
buala,100,SB,1570035953,83,-8.15,159.59,78.28,15.84
ahipara,53,NZ,1570035953,91,-35.17,173.16,51.01,19.93
port elizabeth,20,US,1570035954,43,39.31,-74.98,93.99,8.05
bilibino,100,RU,1570035954,95,68.06,166.44,8.98,5.19
halifax,90,CA,1570035763,81,44.65,-63.58,54,18.34
zhenlai,58,CN,1570035954,72,45.84,123.2,52,20.45
fortuna,1,US,1570035955,93,40.6,-124.16,57,4.7
naugarzan,,,,,,,,
kaitangata,99,NZ,1570035955,73,-46.28,169.85,42.01,4
alamogordo,1,US,1570035931,56,32.9,-105.96,80.01,8.05
grand-santi,48,GF,1570035955,29,4.27,-54.38,95.2,4.34
encheng,12,CN,1570035955,77,22.74,107.09,70.54,2.19
qurayyat,,,,,,,,
yar-sale,100,RU,1570035956,96,66.83,70.83,45.7,18.14
golden,90,US,1570035956,87,39.76,-105.22,52,22.82
worpswede,20,DE,1570035956,76,53.22,8.93,54,12.75
ilebo,79,CD,1570035956,94,-4.33,20.59,71.26,0.85
vaitupu,,,,,,,,
kijang,90,KR,1570035957,83,35.24,129.21,75.2,34.45
lapeer,90,US,1570035792,93,43.05,-83.32,63,3.36
batagay,100,RU,1570035957,49,67.65,134.64,24.46,4.59
xuddur,68,SO,1570035957,68,4.12,43.89,78.46,18.7
sao filipe,0,CV,1570035958,82,14.9,-24.5,79.36,15.37
gamba,3,CN,1570035958,67,28.28,88.52,37.06,4.34
vao,60,EE,1570035958,77,59.1,26.19,44.8,5.17
kazanskaya,0,RU,1570035958,47,45.41,40.44,70,9.17
keti bandar,64,PK,1570035958,81,24.14,67.45,82.24,14.54
batagay-alyta,100,RU,1570035959,72,67.8,130.41,9.88,5.75
bonthe,70,SL,1570035959,82,7.53,-12.5,80.26,9.4
georgetown,40,GY,1570035728,83,6.8,-58.16,84.2,4.7
pahrump,1,US,1570035779,18,36.21,-115.98,69.01,14.99
navahrudak,99,BY,1570035959,97,53.59,25.82,54.7,4.92
coahuayana,100,MX,1570035960,82,18.62,-100.35,76.48,1.03
carrickmacross,75,IE,1570035960,66,53.98,-6.72,53.01,4.7
mehran,75,IR,1570035960,29,33.12,46.17,77,2.24
xining,80,CN,1570035960,79,36.62,101.77,49.12,3.91
amapa,20,HN,1570035960,62,15.09,-87.97,95,3.36
girey,0,RU,1570035961,47,45.4,40.66,70,8.81
dingle,100,PH,1570035961,92,11,122.67,73.96,2.01
jumla,9,NP,1570035961,94,29.28,82.18,45.7,1.72
villarrobledo,72,ES,1570035961,35,39.27,-2.6,72,5.99
broome,40,GB,1570035962,71,52.47,1.45,53.01,9.17
cascais,20,PT,1570035962,60,38.7,-9.42,75.2,19.46
caluquembe,100,AO,1570035962,56,-13.78,14.68,68.92,13.18
diego de almagro,0,CL,1570035962,42,-26.39,-70.05,65.32,9.17
poum,20,MK,1570035963,67,41.28,20.71,62.6,2.24
hambantota,9,LK,1570035963,78,6.12,81.12,81.88,9.6
karauzyak,,,,,,,,
huarmey,54,PE,1570035963,91,-10.07,-78.15,61.72,14.2
iqaluit,75,CA,1570035963,69,63.75,-68.52,39.2,13.87
svetlaya,0,RU,1570035964,82,46.54,138.33,55.42,5.64
bengkulu,,,,,,,,
pangnirtung,75,CA,1570035964,71,66.15,-65.72,35.6,5.82
bidor,75,MY,1570035964,78,4.11,101.29,78.8,2.24
havre-saint-pierre,75,CA,1570035964,42,50.23,-63.6,48.2,10.29
alekseyevsk,77,RU,1570035965,95,57.84,108.35,27.7,6.11
lac-megantic,90,CA,1570036015,71,45.58,-70.88,50,9.17
villamontes,90,BO,1570036015,55,-21.26,-63.47,66.2,17.22
lata,16,IN,1570036015,86,30.78,78.62,31.84,1.19
atar,0,MR,1570035731,7,20.52,-13.05,107.44,12.57
bourail,61,NC,1570036016,86,-21.57,165.5,57.58,1.01
prince rupert,90,CA,1570036016,93,54.32,-130.32,50,8.05
eyl,25,SO,1570036016,88,7.98,49.82,73.78,6.6
rafaela,0,AR,1570036017,42,-31.25,-61.49,73,8.01
berlevag,75,NO,1570035784,60,70.86,29.09,39.2,24.16
muscat,0,OM,1570035797,84,23.6,58.55,87.8,5.82
egvekinot,100,RU,1570036017,94,66.32,-179.17,27.88,1.79
tsihombe,,,,,,,,
kovdor,58,RU,1570036017,89,67.56,30.47,28.42,4.79
conde,85,BR,1570035721,84,-11.81,-37.61,75.22,4.94
hofn,40,IS,1570036018,92,64.25,-15.21,44.6,5.82
gasa,99,BT,1570036018,96,27.91,89.73,34.36,4.97
aklavik,75,CA,1570036018,85,68.22,-135.01,32,5.82
araxa,0,BR,1570036018,33,-19.59,-46.94,86,5.82
zhangjiakou,0,CN,1570036019,72,40.77,114.88,56.14,1.23
salym,100,RU,1570036019,77,60.06,71.48,47.86,13.62
sencha,6,UA,1570036019,54,50.26,33.34,59.38,11.99
novaya bryan,47,RU,1570036019,79,51.72,108.27,26.6,6.71
te anau,100,NZ,1570035941,80,-45.41,167.72,35.98,1.25
guymon,40,US,1570036020,83,36.68,-101.48,71.6,12.75
nikolskoye,75,RU,1570036020,81,59.7,30.79,44.6,8.95
vostok,0,RU,1570036020,95,46.45,135.83,55.96,3.85
oktyabrskiy,0,RU,1570036020,67,55.61,37.97,61,6.71
inhambane,20,MZ,1570036021,64,-23.87,35.38,69.8,3.36
billings,90,US,1570035932,93,45.79,-108.5,39,4.7
rocha,100,UY,1570036021,88,-34.48,-54.34,52,17.29
kathmandu,40,NP,1570036021,93,27.71,85.32,66.2,2.24
lithgow,0,AU,1570036021,93,-33.48,150.16,57.99,3.29
targoviste,0,RO,1570036022,47,44.92,25.46,77,3.36
paris,0,FR,1570035908,47,48.86,2.35,59,12.75
neya,100,RU,1570036022,88,58.29,43.89,50.02,13.18
hualmay,60,PE,1570036022,89,-11.1,-77.61,61.72,14.74
padang,55,ID,1570036022,84,-0.92,100.36,78.1,14.63
paamiut,100,GL,1570036023,61,61.99,-49.67,45.88,7.61
brae,75,GB,1570036023,93,60.4,-1.35,50,16.11
weihai,33,CN,1570036023,28,37.5,122.11,64.99,12.57
nizhneyansk,,,,,,,,
alyangula,63,AU,1570036024,88,-13.85,136.42,73.4,6.42
morro agudo,0,BR,1570036024,26,-20.73,-48.05,95,5.82
korgen,75,NO,1570036024,52,66.08,13.83,42.8,9.17
homer,90,US,1570036024,93,59.64,-151.54,46.4,6.15
agadir,0,MA,1570036024,50,30.42,-9.58,78.8,14.99
caravelas,0,BR,1570036025,57,-17.73,-39.27,75.76,9.06
lorengau,58,PG,1570036025,84,-2.02,147.27,77.02,2.68
sisimiut,100,GL,1570036025,72,66.94,-53.67,39.76,5.03
torbay,90,CA,1570035836,81,47.66,-52.73,43,5.82
port lincoln,90,AU,1570036000,87,-34.72,135.86,56.14,10.04
ilinskiy,0,RU,1570036026,67,55.62,38.12,61,6.71
lolua,,,,,,,,
aripuana,68,BR,1570036026,56,-9.17,-60.63,89.62,0.34
souillac,0,FR,1570036026,72,45.6,-0.6,66,5.82
danshui,0,CN,1570036026,79,22.81,114.46,84.2,13.42
birecik,0,TR,1570036027,36,37.03,37.98,75.2,6.13
kiama,7,AU,1570036027,76,-34.67,150.86,62.01,6.93
puerto escondido,75,MX,1570036027,78,15.86,-97.07,82.4,4.43
tateyama,100,JP,1570036027,59,36.66,137.31,78.01,3
san patricio,100,PY,1570036078,94,-26.98,-56.83,69.46,6.89
bilma,40,NE,1570036078,13,18.69,12.92,95.56,8.72
dybbol,75,DK,1570036078,87,54.91,9.74,51.01,8.05
sambava,87,MG,1570036078,95,-14.27,50.17,68.2,2.26
mendi,91,ET,1570036078,92,9.8,35.1,64.78,1.97
carupano,11,VE,1570036079,46,10.67,-63.26,90.7,7.2
banjar,73,ID,1570036079,90,-7.37,108.54,71.44,0.65
phan rang,,,,,,,,
azimur,,,,,,,,
palabuhanratu,,,,,,,,
saint george,20,GR,1570036079,69,39.45,22.34,73.4,5.82
beisfjord,0,NO,1570036080,51,68.38,17.6,42.01,24.16
nalobikha,0,RU,1570036080,64,53.2,84.6,34.9,3.53
chupa,75,PE,1570036080,47,-15.11,-69.99,57.2,4.7
avera,1,US,1570036080,46,33.19,-82.53,91.99,3.36
